,artist_name,artist_id,artist_popularity,artist_genre
0,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,93,"['art pop', 'pop']"
1,A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,82,"['east coast hip hop', 'hip hop', 'rap']"
2,Aventura,1qto4hHid1P71emI6Fd8xi,79,"['bachata', 'bachata dominicana', 'latin hip hop', 'latin pop', 'tropical', 'urbano latino']"
3,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,92,"['canadian contemporary r&b', 'canadian pop', 'pop']"
4,AJR,6s22t5Y3prQHyaHWUN1R1C,71,['pov: indie']
5,YoungBoy Never Broke Again,7wlFDEWiM5OoIAt8RSli8b,79,"['baton rouge rap', 'rap']"
6,aespa,6YVMFz59CuY7ngCxTxjpxE,79,['k-pop girl group']
7,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,87,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']"
8,ATEEZ,68KmkJeZGfwe1OUaivBa2L,72,"['k-pop', 'k-pop boy group']"
9,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,83,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
10,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,79,"['melodic rap', 'rap', 'trap']"
11,Amy Winehouse,6Q192DXotxtaysaqNPy5yR,77,"['british soul', 'neo soul']"
12,Gunna,2hlmm7s2ICUX0LVIhVFlZQ,85,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
13,ABBA,0LcJLqbBmaGUft1e9Mm8HV,79,"['europop', 'swedish pop']"
14,Anuel AA,2R21vXR83lH98kGeO99Y66,85,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']"
15,Alex G,6lcwlkAjBPSKnFBZjjZFJs,73,"['philly indie', 'pov: indie', 'slacker rock']"
16,XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,85,"['emo rap', 'miami hip hop', 'rap']"
17,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,80,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']"
18,Avril Lavigne,0p4nmQO2msCgU4IF37Wi3j,74,"['canadian pop', 'candy pop', 'dance pop', 'pop']"
19,Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD,80,"['reggae', 'roots reggae']"
20,AC/DC,711MCceyCBcFnzjGY4Q7Un,80,"['australian rock', 'hard rock', 'rock']"
21,Avenged Sevenfold,0nmQIMXWTXfhgOBdNzhGOs,75,['alternative metal']
22,Lil Wayne,55Aa2cqylxrFIXC767Z865,83,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
23,Alice In Chains,64tNsm6TnZe2zpcMVMOoHL,70,"['alternative metal', 'alternative rock', 'grunge', 'hard rock', 'nu metal', 'rock']"
24,Jhené Aiko,5ZS223C6JyBfXasXxrRqOk,75,['r&b']
25,A Day To Remember,4NiJW4q9ichVqL1aUsgGAN,67,"['alternative metal', 'metalcore', 'neon pop punk', 'pop punk', 'screamo']"
26,Artemas,0PCCGZ0wGLizHt2KZ7hhA2,81,[]
27,Shaboozey,3y2cIKLjiOlp1Np37WiUdH,79,['pop rap']
28,Eslabon Armado,0XeEobZplHxzM9QzFQWLiR,76,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']"
29,Adrianne Lenker,4aKWmkWAKviFlyvHYPTNQY,67,"['countrygaze', 'indie pop', 'small room']"
30,System Of A Down,5eAWCfyUhZtHHtBdNk56l1,78,"['alternative metal', 'nu metal', 'rap metal', 'rock']"
31,Jason Aldean,3FfvYsEGaIb52QPXhg4DcH,72,"['contemporary country', 'country', 'country road', 'modern country rock']"
32,Akon,0z4gvV4rjIZ9wHck67ucSV,79,['dance pop']
33,Arijit Singh,4YRxDV8wJFPHPTeXepOstw,87,"['filmi', 'modern bollywood']"
34,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,75,"['escape room', 'hip hop', 'indie soul', 'neo soul']"
35,Avicii,1vCWHaC5f2uS3yhpwWbIA6,79,"['dance pop', 'edm', 'pop', 'pop dance']"
36,Julión Álvarez y su Norteño Banda,1bfl0AU8SqmLkElptOprhC,80,"['banda', 'musica mexicana', 'norteno', 'sad sierreno', 'sierreno']"
37,AURORA,1WgXqy2Dd70QQOU7Ay074N,71,"['art pop', 'norwegian pop']"
38,Action Bronson,7BMccF0hQFBpP6417k1OtQ,61,"['alternative hip hop', 'east coast hip hop', 'hip hop', 'nyc rap', 'queens hip hop']"
39,Arcángel,4SsVbpTthjScTS7U2hmr1X,81,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
40,Autumn!,5delTPpDAtBDsjk60f5xnt,62,"['emoplugg', 'glitchcore', 'plugg', 'pluggnb']"
41,Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,75,['pop']
42,Outkast,1G9G7WwrXka3Z1r7aIDjI7,73,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']"
43,Daryl Hall & John Oates,77tT1kLj6mCWtFNqiOmP9H,74,"['album rock', 'classic rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'yacht rock']"
44,Aphex Twin,6kBDZFXuLrZgHnvmPu9NsG,63,"['ambient', 'braindance', 'electronica', 'intelligent dance music', 'uk experimental electronic']"
45,Alex Warren,0fTSzq9jAh4c36UVb4V7CB,69,"['gen z singer-songwriter', 'singer-songwriter pop']"
46,Alan Jackson,4mxWe1mtYIYfP040G38yvS,71,['country']
47,Andrew Underberg,4zXroEby35IgWPERRcW4Ay,74,[]
48,Ayesha Erotica,7M5pDtJpCdnftEQZtczYco,68,[]
49,Guns N' Roses,3qm84nBOXUEQ2vnTfUTTFC,77,"['glam metal', 'hard rock', 'rock']"
